SCHL_ID,CASEID,STU_WT,age,Q1,exercise,pcgame,tv,fastfood,bmi,a,b,c,d,e,f,g,h,green_have,male
10901,762,1195.6,14,1,3,3,5,4,20.32,4,5,5,4,4,-9,5,5,0,1
10901,1124,1195.6,14,1,4,1,7,2,26.44,2,5,5,5,5,5,3,5,0,1
10901,1192,1277.38,12,2,2,3,3,3,-9,4,5,5,5,5,5,5,5,0,0
10901,1275,1195.6,14,2,4,2,3,2,17.34,5,5,4,5,4,4,3,5,0,0
10901,1614,1277.38,13,2,-9,2,2,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,0
10901,1871,1195.6,13,2,3,1,2,4,15.27,4,4,4,5,4,3,3,5,0,0
10901,1995,1277.38,12,2,2,1,6,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,0
10901,2641,1277.38,12,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,0
10901,3315,1195.6,13,1,2,4,7,6,36.53,4,5,4,4,5,3,3,5,0,1
10901,3386,2500.55,13,1,6,3,4,4,15.11,4,5,5,5,4,5,2,5,0,1
10901,3472,1277.38,13,2,3,1,2,3,-9,2,3,2,3,4,4,4,3,0,0
10901,3696,1277.38,12,1,6,3,5,2,14.81,5,5,5,5,5,4,5,5,0,1
10901,3853,1195.6,13,2,4,2,3,4,21.1,5,5,5,2,5,2,5,5,0,0
10901,3977,1752.23,12,2,2,3,2,5,25.14,1,2,3,2,1,2,3,1,0,0
10901,4282,1195.6,14,1,4,2,3,2,18.29,5,4,5,2,2,2,4,5,0,1
10901,4342,1195.6,13,1,5,2,4,4,35.36,2,4,5,3,4,2,2,5,0,1
10901,4708,1195.6,13,2,5,2,3,4,19.44,5,5,5,5,5,5,5,5,0,0
10901,4745,1277.38,12,2,5,2,3,1,-9,1,3,4,3,2,2,3,4,0,0
10901,5004,1326.63,14,2,6,2,3,5,21.74,4,5,5,5,4,5,5,4,0,0
10901,5106,1326.63,13,2,4,3,5,4,22.78,4,5,3,3,1,2,4,5,0,0
10901,5688,1277.38,13,1,1,7,4,-9,24.83,5,-9,-9,-9,-9,-9,-9,-9,0,1
10901,5816,1752.23,13,2,3,1,6,5,21.68,2,2,3,5,2,-9,3,4,0,0
10901,5915,1195.6,13,1,2,6,3,4,16.03,4,4,5,5,5,3,3,4,0,1
10901,6527,1277.38,13,1,3,6,6,4,19.27,-9,-9,-9,-9,-9,-9,-9,-9,0,1
10901,6547,1195.6,14,1,3,5,4,2,22.76,5,4,5,5,5,5,3,4,0,1
10901,6551,1195.6,14,1,5,1,3,2,22.84,5,4,4,5,5,4,4,5,0,1
10901,6582,1326.63,13,1,5,3,3,2,20.48,5,5,5,4,3,5,4,5,0,1
10901,6622,1277.38,12,1,5,5,7,5,22.62,5,4,5,5,5,4,5,5,0,1
10901,7063,1195.6,14,1,4,6,5,3,22.54,5,4,3,5,3,5,5,5,0,1
10901,7356,1195.6,-9,1,5,-9,2,2,22.55,3,3,5,5,4,3,5,5,0,1
10901,7406,1195.6,13,2,5,2,3,2,20.13,4,4,4,4,4,3,4,5,0,0
10901,7921,1195.6,13,2,4,7,3,3,16.4,5,3,-9,-9,5,5,3,5,0,0
10901,8684,1195.6,13,2,2,2,3,2,19.55,5,4,5,4,5,4,4,5,0,0
10901,9879,1195.6,13,2,4,2,3,3,18.85,4,4,2,4,4,1,4,5,0,0
10901,10122,1195.6,13,1,5,3,3,3,18.85,5,5,5,5,5,5,5,5,0,1
10901,10201,1277.38,12,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,1
10901,10204,1195.6,13,2,3,2,3,5,20.42,3,4,5,1,1,2,1,1,0,0
10901,10476,1277.38,17,1,1,6,-9,4,-9,1,-9,-9,-9,-9,-9,-9,-9,0,1
10901,10543,2500.55,12,2,2,1,2,6,19.04,4,1,1,1,5,1,2,1,0,0
10901,10594,1277.38,12,1,2,3,3,2,29.16,4,2,5,4,1,5,5,5,0,1
